||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Pierre-Boucher--Les Patriotes--Verchères|Free Party Canada|777
Pierre-Boucher--Les Patriotes--Verchères|Liberal|14282
Pierre-Boucher--Les Patriotes--Verchères|NDP-New Democratic Party|4261
Pierre-Boucher--Les Patriotes--Verchères|Conservative|4870
Bourassa|Bloc Québécois|6907
Bourassa|Liberal|22003
Bourassa|People's Party - PPC|1349
Bourassa|Green Party|687
Bourassa|NDP-New Democratic Party|2928
Bourassa|Independent|151
Bourassa|Conservative|2587
Bourassa|Bloc Québécois|6907
Bourassa|Liberal|22303
Bourassa|People's Party - PPC|1349
Bourassa|Green Party|679
Bourassa|NDP-New Democratic Party|2956
Bourassa|Independent|151
Bourassa|Conservative|2587
Brome--Missisquoi|Bloc Québécois|21288
Brome--Missisquoi|Green Party|1466
Brome--Missisquoi|VCP|216
Brome--Missisquoi|Independent|145
Brome--Missisquoi|Conservative|9961
Brome--Missisquoi|Christian Heritage Party|133
Brome--Missisquoi|NDP-New Democratic Party|3827
Brome--Missisquoi|Free Party Canada|961
Brome--Missisquoi|Liberal|21474
Brome--Missisquoi|People's Party - PPC|1982
Brome--Missisquoi|Bloc Québécois|21291
Brome--Missisquoi|Green Party|1466
Brome--Missisquoi|VCP|216
Brome--Missisquoi|Independent|145
Brome--Missisquoi|Conservative|9961
Brome--Missisquoi|Christian Heritage Party|133
Brome--Missisquoi|NDP-New Democratic Party|3828
Brome--Missisquoi|Free Party Canada|961
Brome--Missisquoi|Liberal|21488
Brome--Missisquoi|People's Party - PPC|1982
Brossard--Saint-Lambert|Conservative|6308
Brossard--Saint-Lambert|NDP-New Democratic Party|5517
Brossard--Saint-Lambert|Bloc Québécois|10640
Brossard--Saint-Lambert|Free Party Canada|593
Brossard--Saint-Lambert|Liberal|28631
Brossard--Saint-Lambert|People's Party - PPC|1290
Brossard--Saint-Lambert|Conservative|6276
Brossard--Saint-Lambert|NDP-New Democratic Party|5442
Brossard--Saint-Lambert|Bloc Québécois|10441
Brossard--Saint-Lambert|Free Party Canada|583
Brossard--Saint-Lambert|Liberal|28326
Brossard--Saint-Lambert|People's Party - PPC|1288
Rimouski-Neigette--Témiscouata--Les Basques|Bloc Québécois|20653
Rimouski-Neigette--Témiscouata--Les Basques|Independent|1471
Rimouski-Neigette--Témiscouata--Les Basques|Conservative|5569
Rimouski-Neigette--Témiscouata--Les Basques|Parti Rhinocéros Party|192
Rimouski-Neigette--Témiscouata--Les Basques|Liberal|10437
Rimouski-Neigette--Témiscouata--Les Basques|NDP-New Democratic Party|2637
Rimouski-Neigette--Témiscouata--Les Basques|Free Party Canada|432
Rimouski-Neigette--Témiscouata--Les Basques|People's Party - PPC|699
Rimouski-Neigette--Témiscouata--Les Basques|Bloc Québécois|20657
Rimouski-Neigette--Témiscouata--Les Basques|Independent|1467
Rimouski-Neigette--Témiscouata--Les Basques|Conservative|5569
Rimouski-Neigette--Témiscouata--Les Basques|Parti Rhinocéros Party|192
Rimouski-Neigette--Témiscouata--Les Basques|Liberal|10482
Rimouski-Neigette--Témiscouata--Les Basques|NDP-New Democratic Party|2641
Rimouski-Neigette--Témiscouata--Les Basques|Free Party Canada|430
Rimouski-Neigette--Témiscouata--Les Basques|People's Party - PPC|700
Charlesbourg--Haute-Saint-Charles|Liberal|11416
Charlesbourg--Haute-Saint-Charles|People's Party - PPC|1296
Charlesbourg--Haute-Saint-Charles|NDP-New Democratic Party|3446
Charlesbourg--Haute-Saint-Charles|Bloc Québécois|14407
Charlesbourg--Haute-Saint-Charles|Green Party|972
Charlesbourg--Haute-Saint-Charles|Conservative|25633
Charlesbourg--Haute-Saint-Charles|Free Party Canada|468
Charlesbourg--Haute-Saint-Charles|Liberal|11326
Charlesbourg--Haute-Saint-Charles|People's Party - PPC|1296
Charlesbourg--Haute-Saint-Charles|NDP-New Democratic Party|3446
Charlesbourg--Haute-Saint-Charles|Bloc Québécois|14237
Charlesbourg--Haute-Saint-Charles|Green Party|972
Charlesbourg--Haute-Saint-Charles|Conservative|25623
